No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,2,USC
5,Dejounte Murray,SG,6-4,180,"September 19, 1996",us,5,Washington
11,Trae Young,PG,6-1,164,"September 19, 1998",us,4,Oklahoma
14,AJ Griffin,SF,6-6,222,"August 25, 2003",us,R,Duke
20,John Collins,PF,6-9,235,"September 23, 1997",us,5,Wake Forest
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",us,1,Duke
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,3,Virginia
15,Clint Capela,C,6-10,240,"May 18, 1994",ch,8,
3,Aaron Holiday,PG,6-0,185,"September 30, 1996",us,4,UCLA
13,Bogdan Bogdanović,SG,6-6,220,"August 18, 1992",rs,5,
27,Vit Krejci,PG,6-8,195,"June 19, 2000",cz,1,
41,Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova
2,Trent Forrest  (TW),SG,6-4,210,"June 12, 1998",us,2,Florida State
22,Tyrese Martin,SG,6-6,215,"March 7, 1999",us,R,"Rhode Island, UConn"
25,Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb
24,Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland
4,Donovan Williams  (TW),SG,6-6,190,"September 6, 2001",us,R,"Texas, UNLV"
9,Derrick White,SG,6-4,190,"July 2, 1994",us,5,"Colorado-Colorado Springs, Colorado"
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us,1,"Marquette, Virginia"
12,Grant Williams,PF,6-6,236,"November 30, 1998",us,3,Tennessee
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us,5,Duke
40,Luke Kornet,C,7-2,250,"July 15, 1995",us,5,Vanderbilt
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us,6,California
13,Malcolm Brogdon,PG,6-5,229,"December 11, 1992",us,6,Virginia
42,Al Horford,C,6-9,240,"June 3, 1986",do,15,Florida
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us,8,Oklahoma State
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,2,Oregon
91,Blake Griffin,C,6-9,250,"March 16, 1989",us,12,Oklahoma
44,Robert Williams,C,6-9,237,"October 17, 1997",us,4,Texas A&M
57,Mike Muscala,C,6-10,240,"July 1, 1991",us,9,Bucknell
20,JD Davison  (TW),SG,6-3,195,"October 3, 2002",us,R,Alabama
28,Mfiondu Kabengele  (TW),PF,6-9,250,"August 14, 1997",ca,2,Florida State
99,Justin Champagnie,SF,6-6,200,"June 29, 2001",us,1,Pitt
NA,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it,13,
33,Nic Claxton,C,6-11,215,"April 17, 1999",us,3,Georgia
0,Royce O'Neale,SF,6-4,226,"June 5, 1993",us,5,"Denver, Baylor"
12,Joe Harris,SF,6-6,220,"September 6, 1991",us,8,Virginia
30,Seth Curry,SG,6-2,185,"August 23, 1990",us,8,"Liberty, Duke"
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,4,George Washington
24,Cam Thomas,SG,6-4,210,"October 13, 2001",jp,1,LSU
4,Edmond Sumner,SG,6-4,196,"December 31, 1995",us,4,Xavier
20,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,1,UNC
10,Ben Simmons,PG,6-10,240,"July 20, 1996",au,4,LSU
8,Patty Mills,PG,6-1,180,"August 11, 1988",au,13,Saint Mary's
1,Mikal Bridges,SG,6-6,209,"August 30, 1996",us,4,Villanova
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,8,Colorado
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",us,3,"Pitt, UNC"
6,David Duke Jr.,SG,6-5,205,"October 13, 1999",us,1,Providence
9,Dru Smith  (TW),SG,6-3,203,"December 30, 1997",us,R,"University of Evansville, Missouri"
0,RaiQuan Gray  (TW),PF,6-8,260,"July 7, 1999",us,R,Florida State
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us,3,Kentucky
21,JT Thor,PF,6-10,205,"August 26, 2002",us,1,Auburn
4,Nick Richards,C,7-0,245,"November 29, 1997",jm,2,Kentucky
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us,7,Louisville
8,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us,5,NC State
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us,12,Butler
12,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,7,Kansas
7,Bryce McGowens,SG,6-7,179,"November 8, 2002",us,R,Nebraska
23,Kai Jones,C,6-11,218,"January 19, 2001",bs,1,Texas
9,Théo Maledon  (TW),PG,6-4,175,"June 12, 2001",fr,2,
5,Mark Williams,C,7-1,241,"December 16, 2001",us,R,Duke
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",us,2,
2,James Bouknight,SG,6-5,190,"September 18, 2000",us,1,UConn
10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,4,Kansas
11,Cody Martin,SF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada"
14,Kobi Simmons,SG,6-5,166,"July 4, 1997",us,2,Arizona
22,Xavier Sneed  (TW),SF,6-5,215,"December 21, 1997",us,1,Kansas State
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch,11,USC
44,Patrick Williams,PF,6-7,215,"August 26, 2001",us,2,Florida State
12,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us,1,Illinois
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us,8,UCLA
11,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us,13,USC
0,Coby White,SG,6-5,195,"February 16, 2000",us,3,UNC
3,Andre Drummond,C,6-10,279,"August 10, 1993",us,10,UConn
6,Alex Caruso,PG,6-4,186,"February 28, 1994",us,5,Texas A&M
5,Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us,6,UNLV
25,Dalen Terry,SG,6-7,195,"July 12, 2002",us,R,Arizona
24,Javonte Green,SF,6-4,205,"July 23, 1993",us,3,Radford
21,Patrick Beverley,PG,6-1,180,"July 12, 1988",us,10,Arkansas
22,Carlik Jones,PG,6-1,185,"December 23, 1997",us,1,"Radford, Louisville"
19,Marko Simonovic,C,6-11,216,"October 15, 1999",me,1,
32,Terry Taylor  (TW),PF,6-5,230,"September 23, 1999",us,1,Austin Peay State University
NA,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,5,UCLA
NA,Justin Lewis  (TW),PF,6-7,245,"April 12, 2002",us,R,Marquette
4,Evan Mobley,PF,7-0,215,"June 18, 2001",us,1,USC
16,Cedi Osman,SF,6-7,230,"April 8, 1995",mk,5,
35,Isaac Okoro,SF,6-5,225,"January 26, 2001",us,2,Auburn
3,Caris LeVert,SG,6-6,205,"August 25, 1994",us,6,Michigan
10,Darius Garland,PG,6-1,192,"January 26, 2000",us,3,Vanderbilt
45,Donovan Mitchell,SG,6-1,215,"September 7, 1996",us,5,Louisville
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us,5,Texas
8,Lamar Stevens,SF,6-6,230,"July 9, 1997",us,2,Penn State
19,Raul Neto,PG,6-1,180,"May 19, 1992",br,7,
32,Dean Wade,PF,6-9,228,"November 20, 1996",us,3,Kansas State
33,Robin Lopez,C,7-0,281,"April 1, 1988",us,14,Stanford
13,Ricky Rubio,PG,6-2,190,"October 21, 1990",es,11,
21,Mamadi Diakite  (TW),C,6-9,228,"January 21, 1997",gn,2,Virginia
15,Isaiah Mobley  (TW),PF,6-10,240,"September 24, 1999",us,R,USC
14,Danny Green,SG,6-6,215,"June 22, 1987",us,13,UNC
5,Sam Merrill,SG,6-4,205,"May 15, 1996",us,2,Utah State University
9,Dylan Windler,SF,6-6,196,"September 22, 1996",us,2,Belmont
25,Reggie Bullock,SF,6-6,205,"March 16, 1991",us,9,UNC
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca,8,Stanford
11,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,9,Michigan
35,Christian Wood,C,6-10,214,"September 27, 1995",us,6,UNLV
77,Luka Dončić,PG,6-7,230,"February 28, 1999",si,4,
8,Josh Green,SG,6-5,200,"November 16, 2000",au,2,Arizona
3,Jaden Hardy,SG,6-4,198,"July 5, 2002",us,R,
21,Frank Ntilikina,SG,6-4,200,"July 28, 1998",be,5,
44,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,6,
0,JaVale McGee,C,7-0,270,"January 19, 1988",us,14,Nevada
1,Theo Pinson,SG,6-5,212,"November 5, 1995",us,4,UNC
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de,5,
23,McKinley Wright IV  (TW),PG,6-0,196,"October 25, 1998",us,1,Colorado
2,Kyrie Irving,SG,6-2,195,"March 23, 1992",au,11,Duke
0,Justin Holiday,SF,6-6,180,"April 5, 1989",us,9,Washington
9,A.J. Lawson  (TW),SG,6-6,179,"July 15, 2000",ca,R,South Carolina
13,Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas
11,Bruce Brown,SF,6-4,202,"August 15, 1996",us,4,Miami (FL)
5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us,9,Georgia
0,Christian Braun,SG,6-7,218,"April 17, 2001",us,R,Kansas
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rs,7,
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",us,8,Arizona
27,Jamal Murray,PG,6-4,215,"February 23, 1997",ca,5,Kentucky
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us,3,Missouri
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si,3,
32,Jeff Green,PF,6-8,235,"August 28, 1986",us,14,Georgetown
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us,2,Arizona
14,Ish Smith,PG,6-0,175,"July 5, 1988",us,12,Wake Forest
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,14,Texas A&M
8,Peyton Watson,SG,6-8,200,"September 11, 2002",us,R,UCLA
13,Thomas Bryant,C,6-10,248,"July 31, 1997",us,5,Indiana
10,Jack White  (TW),SF,6-7,225,"August 5, 1997",au,R,Duke
7,Reggie Jackson,PG,6-2,208,"April 16, 1990",it,11,Boston College
NA,Collin Gillespie  (TW),PG,6-3,195,"June 25, 1999",us,R,Villanova
7,Killian Hayes,PG,6-5,195,"July 27, 2001",us,2,
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",us,R,Purdue
0,Jalen Duren,C,6-10,250,"November 18, 2003",us,R,Memphis
18,Cory Joseph,PG,6-3,200,"August 20, 1991",ca,11,Texas
44,Bojan Bogdanović,PF,6-7,226,"April 18, 1989",ba,8,
6,Hamidou Diallo,SF,6-5,202,"July 31, 1998",us,4,Kentucky
12,Isaiah Livers,PF,6-7,230,"July 28, 1998",us,1,Michigan
5,Alec Burks,SG,6-6,214,"July 20, 1991",us,11,Colorado
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us,2,Washington
35,Marvin Bagley III,C,6-11,235,"March 14, 1999",us,4,Duke
17,Rodney McGruder,SG,6-4,205,"July 29, 1991",us,6,Kansas State
13,James Wiseman,C,7-0,240,"March 31, 2001",us,1,Memphis
14,R.J. Hampton,PG,6-4,175,"February 7, 2001",us,2,
97,Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon"
8,Jared Rhoden  (TW),SG,6-6,210,"August 27, 1999",us,R,Seton Hall
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us,1,Oklahoma State
27,Buddy Boeheim  (TW),SF,6-6,205,"November 11, 1999",us,R,Syracuse
3,Jordan Poole,PG,6-4,194,"June 19, 1999",us,3,Michigan
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,7,UCLA
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,10,Michigan State
