college,count,mean_salary
Alabama,4,8081342.5
Arizona,10,9401060.3
Arizona State,3,16883312.666666668
Arkansas,7,6766185.285714285
Auburn,5,4723351.6
Baylor,5,5373394.2
Boston College,2,11795633
Bowling Green,1,11215260
Bucknell,2,3500000
Butler,1,30075000
California,1,28741071
Colorado,5,13384687.6
Colorado State,1,2588640
Creighton,1,13750000
Davidson,1,48070014
Dayton,1,5348280
DePaul,2,1799149
Duke,26,12709737.807692308
Florida,5,19741029.2
Florida State,7,10043393
Fresno State,1,42492492
George Washington,1,1836090
Georgetown,3,4084212.6666666665
Georgia,3,11079367.666666666
Georgia Tech,3,3799869.333333333
Gonzaga,9,7582716.111111111
Houston,1,2277000
IUPUI,2,4000000
Illinois,2,834520
Indiana,8,9383420
Iowa,2,5364714.5
Iowa State,4,6766280
Kansas,12,11299538.583333332
Kansas State,2,1883385.5
Kentucky,26,12353421.692307692
LSU,6,8265948.5
Lehigh,1,33333333
Lipscomb,2,2000000
Louisiana Tech,1,NA
Louisville,7,9251188.285714287
Loyola (MD),1,2094120
Marquette,5,10669074
Maryland,6,5015998.166666666
Memphis,8,8915619.375
Miami (FL),2,6479000
Michigan,8,8737810.75
Michigan State,5,14110695
Minnesota,1,3395062
Missouri,2,22126875
Murray State,2,9059720
NC State,3,1836090
Nebraska,3,1523066.3333333333
Nevada,2,5970109.5
New Mexico State,1,35448672
No College/Unknown,103,9673786
Notre Dame,2,4056936.5
Oakland,2,5250000
Ohio State,7,17140719.57142857
Ohio University,1,1563518
Oklahoma,4,15418464.5
Oklahoma State,3,9895946
Ole Miss,1,4000000
Oregon,8,4426631.75
Oregon State,2,5068045
Penn State,1,1782621
Pepperdine,2,1637966
Pitt,1,17926829
Providence,2,735819
Purdue,1,7252200
Purdue-Fort Wayne,1,2300000
Radford,1,1815677
SMU,1,1997718
Saint Louis,1,900000
Saint Mary's,3,3292869.3333333335
San Diego State,4,12124893.5
Santa Clara,1,4341480
Seton Hall,2,357717
Stanford,4,7853717.75
Syracuse,2,11400869
TCU,2,2065120
Tennessee,7,10234895.285714285
Tennessee State,1,12307692
Texas,11,17355144
Texas A&M,5,14336955
Toledo,1,1017781
UC Santa Barbara,1,1815677
UCLA,11,24323954.636363637
UConn,3,4582246.666666667
UNC,10,7099615.2
UNLV,3,8061653
USC,11,8894776.454545455
USC Upstate,1,5121951
UW-Milwaukee,1,2226000
University of Vermont,1,253254
Utah,4,9900293.5
VCU,2,2201520
Vanderbilt,5,3891040.6
Villanova,10,13460482.6
Virginia,6,9626552.333333334
Virginia Tech,2,5009633
Wake Forest,5,12419931.2
Washington,11,7930989.363636363
Washington State,1,40600080
Weber State,1,42492492
West Virginia,2,3794259
Western Kentucky,2,9860098
Wheeling University,1,1752638
Wichita State,2,15375000
William & Mary,1,1836090
Winthrop University,1,140384
Wisconsin,3,2827500
Wyoming,1,9672727
Xavier,2,1875398
Yakima Valley Community College,1,2485200
